,Origin,Destination,distance
406,21908.0,21315.0,2012.6210000000003
407,21017.0,21315.0,883.6670000000001
408,22209.0,21315.0,1443.3000000000002
409,22505.0,21315.0,2335.9349999999995
410,22809.0,21315.0,2265.338
411,22208.0,21315.0,1283.601
412,20425.0,21315.0,1716.1779999999997
413,22508.0,21315.0,1893.649
414,21912.0,21315.0,1356.547
415,20426.0,21315.0,1842.8639999999998
416,22210.0,21315.0,1788.007
417,22506.0,21315.0,1949.412
418,22206.0,21315.0,2023.1790000000005
419,21911.0,21315.0,890.6060000000001
420,21314.0,21315.0,365.05100000000004
421,21016.0,21315.0,1189.7190000000003
422,22812.0,21315.0,2774.367000000001
423,23114.0,21315.0,2766.129000000001
424,22507.0,21316.0,1916.862
425,22208.0,21316.0,1618.8230000000003
426,22508.0,21316.0,1664.7649999999999
427,21611.0,21316.0,1498.594
428,20426.0,21316.0,1869.4139999999993
429,21018.0,21316.0,603.719
430,21315.0,21316.0,398.13399999999996
431,21314.0,21316.0,763.1850000000002
432,23113.0,21316.0,2567.5729999999985
433,22811.0,21316.0,2104.1
434,21912.0,21316.0,1249.872
435,21910.0,21316.0,1295.6730000000007
436,21911.0,21316.0,968.375
437,21016.0,21316.0,1582.9089999999997
438,21908.0,21316.0,2351.6169999999997
439,21313.0,21316.0,1158.1599999999999
440,21017.0,21316.0,1273.4099999999994
441,22210.0,21316.0,1722.308
442,22509.0,21316.0,2138.0499999999993
443,22809.0,21316.0,2600.559999999999
444,20719.0,21316.0,1645.5589999999995
445,21613.0,21316.0,716.2220000000001
446,20721.0,21316.0,891.7370000000001
447,22810.0,21316.0,2232.2399999999993
448,21909.0,21316.0,1754.659
449,22505.0,21316.0,2673.9239999999986
450,22207.0,21316.0,1992.7030000000004
451,23114.0,21316.0,2618.7309999999984
452,22812.0,21316.0,2617.9879999999994
453,22506.0,21316.0,2287.1109999999994
454,22209.0,21316.0,1251.7740000000001
455,21614.0,21316.0,339.39599999999996
456,20425.0,21316.0,1742.7279999999996
457,22206.0,21316.0,2361.1679999999997
458,21612.0,21316.0,1088.529
459,20720.0,21316.0,1182.7359999999999
460,21019.0,21316.0,1086.578
461,21018.0,21611.0,1540.4119999999998
462,21313.0,21611.0,405.11699999999996
463,20721.0,21611.0,1730.853
